Typhoon,Province,Project Name,Location,Latitude,Longitude,Buffer,Classification,Full Project Title
Yolanda,Antique,Barbaza Residences 2,"Brgy Magtulis, Barbaza",11.1992550,122.0541800,140,,Barbaza Residences 2 (Barbaza site 2A)
Yolanda,Antique,Atabay Homes (Barbaza),"Brgy Esparar, Barbaza",11.2061310,122.0605290,160,,Atabay Homes (Barbaza)
Yolanda,Antique,Bugasong Resettlement Project,"Brgy Centro Ilauod, Bugasong",11.0354780,122.0603690,80,,Bugasong Resettlement Project (LGU Land)
Yolanda,Antique,Bugasong New Paradise Village 1,"Brgy Lacayon Site 1, Bugasong",11.0515050,122.0824710,350,,Bugasong New Paradise Village 1
Yolanda,Antique,Igbalangao Homes 1,"Brgy Igbalangao, Bugasong",11.0096200,122.0612860,270,,Bugasong Paradise Ville 1 (Igbalangao Homes 1)
Yolanda,Antique,Esperanza Homes 1,"Brgy Ezperanza Site 1, Culasi",11.4656310,122.0618330,410,,Esperanza Homes 1
Yolanda,Antique,Laua-an Resettlement Project,"Brgy Jaguiquican, Laua-an",11.0807219,122.0845573,115,,Laua-an Resettlement Project (LGU)
Yolanda,Antique,Villa Guinbanga-an Nuevo,Brgy Guinbanga-an Nuevo Laua-an,11.0868350,122.0806430,120,,Villa Guinbanga-an Nuevo
Yolanda,Antique,Villa Igtadiao Nuevo 1,"Brgy Igtadiao Site 1, Laua-an",11.1234770,122.0574050,70,,Villa Igtadiao Nuevo 1
Yolanda,Antique,Villa Igtadiao Nuevo 2 ,"Brgy Igtadiao Site 2, Laua-an",11.1217240,122.0547140,90,,Villa Igtadiao Nuevo 2 
Yolanda,Antique,Villa Lugta Nuevo,"Brgy Lugta, Laua-n",11.0828650,122.0514450,190,,Villa Lugta Nuevo
Yolanda,Antique,Villa Lindero NUevo,"Brgy Lindero, Laua-an",11.1131940,122.0519130,100,,Villa Lindero NUevo
Yolanda,Antique,Villa Lupa-an Nuevo 1,Brgu Lupa-an Site 1,11.1376710,122.0714610,120,,Villa Lupa-an Nuevo 1
Yolanda,Antique,Villa Lupa-an Nuevo 2,Brgy Lupa-an Site 2,11.1411020,122.0738230,70,,Villa Lupa-an Nuevo 2
Yolanda,Antique,Villa Lindero Nuevo 2,"Brgy Lindero, Laua-an",11.1131940,122.0519130,100,,Villa Lindero Nuevo 2
Yolanda,Antique,Sta. Cruz Homes Site 1,"Brgy Sta. Cruz, Pandan",11.7672490,122.0956180,150,,Sta. Cruz Homes Site 1
Yolanda,Antique,Guia Homes,"Brgy Guia, Pandan",11.7592910,122.0682547,200,,Guia Homes
Yolanda,Antique,Tingib Homes,"Brgy Tingib, Pandan",11.7433130,122.0404660,200,,Tingib Homes
Yolanda,Antique,Sta. Cruz People's Village,"Brgy Sta. Cruz, Pandan",11.7675170,122.0957940,200,,Sta. Cruz People's Village (Pandan Site 1A)
Yolanda,Antique,Pobalcion Village,"Brgy Poblacion, Patnongon",10.9294820,122.0106460,100,,Pobalcion Village
Yolanda,Antique,San Rafael Prosperity Homes,"Brgy San Rafael, Patnongon",10.8977660,122.0081350,150,,San Rafael Prosperity Homes
Yolanda,Antique,Sebaste People's Village,"Brgy Aras-asan, Sebaste",11.5318280,122.0912920,125,,Sebaste People's Village
Yolanda,Antique,GBB People's Village,"Brgy Importante, Tibiao",11.2991250,122.0608860,179,,GBB People's Village
Yolanda,Antique,San Francisco Norte People's Village,"Brgy San Francisco Norte, Tibiao",11.3299976,122.0571766,150,,San Francisco Norte People's Village
Yolanda,Aklan,Altavas Homes,"Brgy Talon (Site 1) Altavas, Aklan",11.5084190,122.4445952,250,,Altavas Homes Site 1
Yolanda,Aklan,Batan Permanent Housing,"Brgy Bay-Ang Site 1, Batan, Aklan",11.5886740,122.4504150,180,,Batan Permanent Housing
Yolanda,Aklan,Briones Homes,"Brgy Briones, Kalibo, Aklan",11.6707403,122.4022574,200,,Briones Homes
Yolanda,Aklan,New Washington Housing,"Brgy Fatima Site 1, New Washington",11.6066700,122.4891900,300,,New Washington Housing Proj Site 1
Yolanda,Aklan,Cardinal Ville,"Brgy Lawaan, New Washington",11.6199470,122.4038460,175,,Cardinal Ville (New Washington 5)
Yolanda,Aklan,Olympus Residences 1,"Brgy Ochando Site 1, New Washington",11.6141160,122.4719530,300,,Olympus Residences 1
Yolanda,Aklan,Shimonette Homes,"Brgy Jugas,New Washington, AKlan",11.6220260,122.3756130,250,,Shimonette Homes
Yolanda,Aklan,Olympus Residences 5,"Brgy Candelaria, New Washington, Aklan",11.6282020,122.3893960,70,,Olympus Residences 5
Yolanda,Aklan,Tangalan Housing Project,"Brgy. Jawili, Tangalan, Aklan",11.7859220,122.2304750,120,,Tangalan Housing Project
Yolanda,Aklan,Bagongbayan People's Village,"Brgy. Bagumbayan, Buruanga, Aklan",11.7848690,121.8797810,150,,Bagongbayan People's Village
Yolanda,Aklan,Malay NHA Yolanda Housing,"Brgy Dumlog, Malay Aklan",11.8939820,121.9129760,70,,Malay NHA Yolanda housing
Yolanda,Aklan,Numancia Housing Project,"Brgy Albasan, numancia, Aklan",11.7232110,122.3366770,125,,Numancia Housing Project
Rolly,Albay,Tabaco Housing Project,"Brgy. San Vicente, Tabaco City, Albay",13.3607811,123.6998399,125,Identified,Tabaco Housing Project
Usman,Albay,Balai Tiwi,"Brgy. Bagumbayan, Tiwi, Albay",13.4440377,123.6530478,340,Identified,Balai Tiwi (Bagumbayan Resettlement Proj. Site 1)
Usman,Camarines Sur,Buhi Resettlement Project,"Brgy. De La Fe, Buhi, Camarines Sur",13.4309673,123.4903932,210,Identified,Buhi Resettlement Project
